rpm,temperature,oil_pressure,vibration,fuel_flow,fault
5306.4,107.3,3.56,1.51,3.51,Overheating
5235.7,78.0,4.27,1.03,2.74,Normal
4890.5,92.2,2.06,2.63,3.08,Low Oil Pressure
4742.3,83.4,3.85,2.08,3.49,Performance Degradation
5248.9,103.0,3.77,1.73,3.33,Overheating
4559.9,84.3,3.18,5.08,3.08,Bearing Degradation
4766.2,93.3,2.27,2.99,2.88,Low Oil Pressure
4648.9,93.7,3.28,5.48,2.97,Bearing Degradation
5148.6,77.3,4.29,1.19,2.7,Normal
4617.4,84.6,3.93,2.06,3.91,Performance Degradation
4568.8,87.4,3.54,4.05,3.05,Bearing Degradation
4911.8,90.8,2.65,2.26,2.86,Low Oil Pressure
5168.4,79.6,4.32,1.25,2.66,Normal
5219.4,107.8,3.43,1.76,3.27,Overheating
4594.2,93.0,3.19,5.54,3.26,Bearing Degradation
4841.2,94.0,2.51,2.21,2.96,Low Oil Pressure
4855.5,90.2,3.17,5.7,2.96,Bearing Degradation
4808.9,92.2,2.19,2.4,3.01,Low Oil Pressure
4727.6,84.9,3.02,4.19,3.19,Bearing Degradation
5216.5,99.0,3.72,1.5,3.21,Overheating
4875.6,88.8,3.47,4.31,2.86,Bearing Degradation
5334.6,104.1,3.57,1.83,3.34,Overheating
4714.8,83.7,2.88,4.72,3.16,Bearing Degradation
4705.8,85.2,4.0,2.06,3.68,Performance Degradation
5191.7,78.6,4.59,1.2,2.58,Normal
4905.6,89.2,2.58,2.34,2.9,Low Oil Pressure
5219.3,108.0,3.57,1.84,3.33,Overheating
5212.2,79.0,4.18,1.39,2.7,Normal
4637.5,84.6,3.25,4.33,3.33,Bearing Degradation
4731.7,79.9,3.93,2.05,3.42,Performance Degradation
4673.7,82.6,3.78,2.07,3.22,Performance Degradation
5213.3,79.3,4.36,1.06,2.79,Normal
4799.6,92.0,2.37,2.54,2.79,Low Oil Pressure
5167.7,81.4,4.36,1.23,2.78,Normal
4850.0,83.9,3.93,1.81,3.51,Performance Degradation
5233.8,77.6,4.2,1.16,2.7,Normal
4758.1,94.4,1.77,2.85,2.93,Low Oil Pressure
4737.0,85.0,2.65,2.22,2.98,Low Oil Pressure
5152.4,79.0,4.02,1.09,2.76,Normal
4777.1,91.4,2.23,2.57,2.82,Low Oil Pressure
4852.7,89.1,2.62,2.39,3.15,Low Oil Pressure
4833.0,87.8,3.24,3.7,2.94,Bearing Degradation
5179.0,78.5,4.3,1.39,2.82,Normal
5242.0,81.2,4.08,1.05,2.76,Normal
4551.9,85.7,3.33,4.47,3.09,Bearing Degradation
4825.1,88.4,2.49,2.26,2.91,Low Oil Pressure
4980.0,92.3,2.37,2.53,2.8,Low Oil Pressure
5226.6,106.9,3.42,1.71,3.48,Overheating
4684.2,82.7,3.65,2.22,4.01,Performance Degradation
4702.9,86.8,3.0,5.73,3.05,Bearing Degradation
4797.7,93.4,2.03,2.55,2.85,Low Oil Pressure
4521.2,84.6,3.34,4.46,2.96,Bearing Degradation
5283.4,76.1,4.16,1.15,2.82,Normal
4666.3,85.3,3.16,5.7,3.4,Bearing Degradation
4494.1,87.5,3.31,5.42,2.97,Bearing Degradation
5186.9,77.0,4.38,1.13,2.71,Normal
4696.5,84.8,2.97,4.99,2.83,Bearing Degradation
4835.2,92.0,2.51,1.92,2.89,Low Oil Pressure
5221.3,76.9,4.4,1.26,2.65,Normal
5251.5,107.0,3.47,1.77,3.48,Overheating
5284.9,76.2,4.27,1.48,2.7,Normal
4802.2,85.6,3.98,2.13,3.27,Performance Degradation
4589.2,86.7,3.81,1.99,3.78,Performance Degradation
4791.3,88.5,3.78,2.16,3.99,Performance Degradation
5222.7,101.0,3.6,1.83,3.16,Overheating
5169.3,77.6,4.36,1.33,2.55,Normal
4594.1,85.4,3.68,2.16,3.24,Performance Degradation
4793.9,96.8,1.9,2.81,2.79,Low Oil Pressure
4819.7,91.7,2.26,2.52,2.61,Low Oil Pressure
5223.4,75.9,4.33,1.31,2.75,Normal
5199.1,82.0,4.17,0.97,2.77,Normal
5251.5,101.8,3.77,1.67,3.39,Overheating
4742.2,87.3,3.7,2.13,3.64,Performance Degradation
4655.5,84.2,3.54,5.28,3.11,Bearing Degradation
4546.4,88.8,3.15,5.22,3.04,Bearing Degradation
4656.1,82.2,3.99,2.1,3.93,Performance Degradation
5284.5,106.7,3.67,1.89,3.5,Overheating
4757.6,87.2,3.23,6.23,3.06,Bearing Degradation
5271.1,97.3,3.73,1.54,3.29,Overheating
4759.4,91.1,3.14,4.69,3.25,Bearing Degradation
4792.9,91.7,2.27,2.87,2.74,Low Oil Pressure
5221.2,79.6,4.47,1.22,2.76,Normal
4779.0,93.6,2.06,2.2,2.78,Low Oil Pressure
5259.8,110.6,3.5,1.98,3.63,Overheating
5218.0,75.2,4.34,1.23,2.67,Normal
4689.6,89.1,3.88,1.89,3.9,Performance Degradation
5170.4,101.5,3.7,1.8,3.49,Overheating
4668.5,88.9,3.18,4.93,3.15,Bearing Degradation
5305.7,102.6,3.76,1.79,3.34,Overheating
4691.7,83.5,4.11,1.95,3.76,Performance Degradation
4661.7,93.9,3.26,5.95,3.01,Bearing Degradation
5203.4,78.1,4.22,1.2,2.82,Normal
5265.5,111.0,3.38,2.08,3.44,Overheating
5205.8,74.2,4.45,1.07,2.67,Normal
5359.3,104.4,3.54,1.75,3.5,Overheating
4629.5,84.9,3.33,5.67,3.02,Bearing Degradation
4780.2,80.2,3.81,2.25,3.8,Performance Degradation
5234.9,78.4,4.21,1.16,2.72,Normal
5224.9,98.0,3.85,1.57,3.29,Overheating
4730.4,82.8,3.68,2.28,3.96,Performance Degradation
5151.3,77.9,4.24,1.03,2.62,Normal
4793.7,88.9,2.44,2.35,2.86,Low Oil Pressure
5204.5,77.5,4.33,0.88,2.65,Normal
4609.0,81.2,3.85,2.05,3.6,Performance Degradation
5249.4,81.6,4.13,1.35,2.92,Normal
5279.3,102.3,3.64,1.89,3.25,Overheating
4913.2,94.5,2.33,2.54,3.16,Low Oil Pressure
4861.6,90.9,2.28,2.44,2.88,Low Oil Pressure
4615.7,89.1,3.78,2.09,3.82,Performance Degradation
4590.7,89.5,2.96,4.74,3.39,Bearing Degradation
4696.0,84.6,3.93,1.82,3.75,Performance Degradation
4926.3,91.0,2.62,2.1,2.89,Low Oil Pressure
4872.0,94.1,2.08,2.73,2.87,Low Oil Pressure
4834.5,89.7,2.37,2.54,2.91,Low Oil Pressure
5235.4,100.5,3.65,1.59,3.02,Overheating
4947.9,94.0,2.21,2.4,3.11,Low Oil Pressure
4922.2,93.8,2.37,2.23,2.9,Low Oil Pressure
4717.2,83.3,3.79,2.18,3.47,Performance Degradation
5165.4,76.5,4.14,1.2,2.62,Normal
4706.5,84.0,4.12,2.52,3.83,Performance Degradation
4578.7,87.5,3.37,6.22,3.25,Bearing Degradation
4612.3,85.5,3.98,2.21,3.56,Performance Degradation
4982.8,94.0,2.17,2.26,2.86,Low Oil Pressure
5200.3,97.4,3.7,1.51,3.18,Overheating
4637.4,90.3,3.48,4.08,3.4,Bearing Degradation
5225.6,80.3,4.29,1.5,2.78,Normal
5269.8,79.1,4.33,1.05,2.69,Normal
4560.3,85.2,3.28,5.43,3.19,Bearing Degradation
4829.8,90.3,2.19,2.76,2.97,Low Oil Pressure
4687.8,90.5,3.05,3.76,3.23,Bearing Degradation
4764.5,87.4,2.87,4.0,3.12,Bearing Degradation
5239.2,77.4,4.3,1.36,2.78,Normal
5334.5,110.5,3.55,1.96,3.47,Overheating
4915.1,95.4,2.49,2.26,3.03,Low Oil Pressure
4615.0,81.8,3.83,1.94,3.71,Performance Degradation
4742.1,97.3,1.73,3.03,3.04,Low Oil Pressure
5228.9,102.1,3.67,1.51,3.4,Overheating
5190.1,78.0,4.36,1.39,2.64,Normal
4661.9,91.0,3.45,4.79,3.13,Bearing Degradation
5127.4,81.6,4.29,0.97,2.73,Normal
5266.5,76.9,4.29,1.14,2.77,Normal
4855.6,92.9,2.21,2.31,3.05,Low Oil Pressure
5285.5,101.9,3.55,1.84,3.18,Overheating
5197.9,105.3,3.66,1.94,3.43,Overheating
4735.2,89.1,3.09,4.54,2.85,Bearing Degradation
4915.5,92.2,2.57,2.34,2.67,Low Oil Pressure
5168.4,79.2,4.29,1.18,2.69,Normal
4768.1,81.1,3.63,1.84,3.58,Performance Degradation
4771.6,92.6,2.19,2.76,2.92,Low Oil Pressure
4532.0,87.6,3.16,5.52,2.98,Bearing Degradation
4942.7,89.0,2.56,2.14,2.98,Low Oil Pressure
5203.6,98.5,3.73,1.7,3.2,Overheating
4821.5,82.8,4.17,1.94,3.65,Performance Degradation
4748.5,90.5,3.57,5.65,3.07,Bearing Degradation
5214.0,95.5,3.85,1.48,3.29,Overheating
4849.4,86.0,3.65,4.03,3.09,Bearing Degradation
4861.1,92.7,2.26,2.61,2.78,Low Oil Pressure
4720.0,83.3,3.61,2.32,3.64,Performance Degradation
5354.7,105.4,3.63,1.69,3.51,Overheating
5135.2,76.6,4.28,0.88,2.66,Normal
4539.1,89.2,3.53,4.29,2.85,Bearing Degradation
4499.3,85.9,4.15,2.38,3.68,Performance Degradation
4758.3,89.3,3.49,4.89,3.09,Bearing Degradation
5355.7,112.0,3.43,1.83,3.57,Overheating
5090.9,73.6,4.24,1.32,2.75,Normal
4683.4,89.1,3.38,4.8,3.0,Bearing Degradation
4836.3,88.9,3.83,2.16,3.88,Performance Degradation
4684.6,84.1,3.79,2.06,3.62,Performance Degradation
4707.7,83.5,3.84,2.09,3.68,Performance Degradation
5151.4,77.9,4.28,1.18,2.61,Normal
4719.3,90.3,3.19,5.08,3.17,Bearing Degradation
4800.7,90.3,2.38,2.47,2.68,Low Oil Pressure
5240.7,75.0,4.34,1.19,2.79,Normal
4823.5,93.3,2.35,2.25,2.74,Low Oil Pressure
4666.4,87.6,3.14,6.17,3.5,Bearing Degradation
4842.2,90.2,2.42,2.23,2.88,Low Oil Pressure
5176.2,77.1,4.41,1.23,2.74,Normal
4722.3,82.6,3.83,2.15,3.54,Performance Degradation
4744.3,79.3,4.08,1.95,3.56,Performance Degradation
4688.6,86.1,4.03,2.02,3.55,Performance Degradation
4802.0,93.8,2.41,2.44,3.02,Low Oil Pressure
5283.0,106.9,3.64,1.87,3.43,Overheating
5266.0,100.0,3.75,1.67,3.36,Overheating
5257.5,106.3,3.4,1.83,3.28,Overheating
4666.0,90.3,2.97,4.34,3.0,Bearing Degradation
4730.0,89.0,3.11,5.96,3.08,Bearing Degradation
4775.1,85.7,2.65,2.19,3.18,Low Oil Pressure
4620.0,84.9,3.91,2.06,3.84,Performance Degradation
5314.8,104.3,3.81,1.95,3.5,Overheating
4879.4,92.8,2.35,2.92,2.97,Low Oil Pressure
4923.1,88.2,2.65,2.61,2.99,Low Oil Pressure
4902.3,90.2,2.33,2.6,3.04,Low Oil Pressure
4879.3,92.5,2.56,2.24,2.72,Low Oil Pressure
5269.4,79.0,4.34,1.07,2.63,Normal
4812.5,93.0,2.32,2.57,2.85,Low Oil Pressure
4822.7,90.6,2.65,2.38,2.96,Low Oil Pressure
5185.5,77.6,4.28,0.97,2.67,Normal
4866.7,90.3,2.64,2.55,2.83,Low Oil Pressure
5212.2,104.3,3.63,1.85,3.43,Overheating
5211.6,77.3,4.28,1.26,2.79,Normal
4664.0,85.8,3.36,4.21,2.96,Bearing Degradation
4672.5,86.7,3.8,2.07,3.39,Performance Degradation
4879.7,95.3,1.99,2.61,3.13,Low Oil Pressure
5196.8,74.4,4.12,1.14,2.76,Normal
4618.2,87.7,3.33,5.14,2.92,Bearing Degradation
4526.1,78.0,4.05,1.94,3.72,Performance Degradation
4742.5,82.3,4.12,2.48,3.47,Performance Degradation
4568.8,82.8,3.96,1.94,3.26,Performance Degradation
4892.8,93.9,2.31,2.5,3.12,Low Oil Pressure
5260.5,80.8,4.38,1.2,2.8,Normal
4783.1,89.1,2.34,2.4,2.89,Low Oil Pressure
4462.2,88.5,3.07,5.05,3.19,Bearing Degradation
4803.8,90.8,2.53,2.47,3.13,Low Oil Pressure
4815.5,88.4,2.31,2.48,2.83,Low Oil Pressure
4720.2,89.7,3.46,3.91,3.02,Bearing Degradation
4814.2,92.2,2.46,2.39,2.76,Low Oil Pressure
4685.3,84.5,3.0,5.1,2.97,Bearing Degradation
4527.5,88.0,3.07,5.4,3.06,Bearing Degradation
4576.6,89.2,3.96,1.94,3.72,Performance Degradation
4911.1,91.5,2.3,2.88,2.92,Low Oil Pressure
4930.9,90.5,2.42,2.5,3.03,Low Oil Pressure
4690.2,90.7,3.21,5.75,3.02,Bearing Degradation
4810.4,91.2,2.55,2.32,2.98,Low Oil Pressure
4833.9,91.1,2.37,2.64,2.97,Low Oil Pressure
4739.1,88.0,3.25,3.93,2.88,Bearing Degradation
5226.1,78.8,4.28,1.33,2.79,Normal
4573.4,88.4,3.01,5.21,3.21,Bearing Degradation
5166.2,77.4,4.27,1.38,2.61,Normal
5322.2,104.6,3.73,1.96,3.27,Overheating
4738.8,85.0,3.84,2.3,3.96,Performance Degradation
4819.5,87.8,3.39,5.19,3.13,Bearing Degradation
5302.7,103.2,3.68,1.7,3.42,Overheating
4849.7,94.2,2.26,2.48,2.76,Low Oil Pressure
4907.0,92.1,2.65,2.43,2.89,Low Oil Pressure
4850.0,90.8,3.25,4.94,3.2,Bearing Degradation
4552.2,89.3,3.41,4.93,3.07,Bearing Degradation
4559.9,85.7,3.94,2.21,3.58,Performance Degradation
4548.7,88.0,3.27,5.19,2.92,Bearing Degradation
4848.7,95.6,2.32,2.25,2.93,Low Oil Pressure
4669.1,84.2,3.94,2.41,3.47,Performance Degradation
5205.5,76.4,4.17,1.09,2.48,Normal
4662.3,86.3,3.28,4.24,3.11,Bearing Degradation
4500.4,87.0,3.73,2.4,3.6,Performance Degradation
4871.3,91.7,2.49,2.41,2.61,Low Oil Pressure
4814.4,90.9,2.55,2.46,2.68,Low Oil Pressure
4796.5,93.3,2.4,2.43,2.89,Low Oil Pressure
5292.1,110.0,3.28,1.82,3.67,Overheating
5242.8,79.8,4.31,1.3,2.65,Normal
5209.6,78.0,4.27,1.21,2.65,Normal
4696.8,81.0,3.84,2.37,3.73,Performance Degradation
4642.5,88.9,3.28,4.71,3.16,Bearing Degradation
4656.0,88.1,3.08,5.69,3.13,Bearing Degradation
5350.3,106.8,3.52,1.96,3.57,Overheating
4631.0,83.5,3.83,2.05,3.61,Performance Degradation
5177.4,105.2,3.74,1.69,3.34,Overheating
5301.2,106.8,3.52,1.67,3.37,Overheating
4604.2,87.8,3.32,4.96,3.26,Bearing Degradation
4720.0,84.6,3.58,5.49,3.23,Bearing Degradation
4947.2,89.7,2.43,2.42,2.76,Low Oil Pressure
4673.0,85.6,3.39,4.39,2.98,Bearing Degradation
4833.3,87.9,2.65,2.05,2.85,Low Oil Pressure
4868.1,95.4,2.11,2.66,2.7,Low Oil Pressure
4703.0,81.6,3.73,2.18,3.8,Performance Degradation
4746.3,85.6,3.37,4.91,3.02,Bearing Degradation
5297.0,111.6,3.55,1.82,3.57,Overheating
5296.9,106.3,3.68,1.62,3.4,Overheating
4801.7,91.2,2.39,2.43,3.02,Low Oil Pressure
5344.1,101.5,3.73,1.62,3.12,Overheating
5253.4,76.8,4.26,1.1,2.59,Normal
5279.1,104.7,3.58,1.65,3.45,Overheating
4726.0,84.6,3.54,2.2,3.65,Performance Degradation
4823.2,90.0,2.31,2.41,2.91,Low Oil Pressure
5349.2,103.3,3.53,1.78,3.08,Overheating
5247.4,76.3,4.17,1.37,2.55,Normal
5198.4,78.6,4.1,1.03,2.63,Normal
4891.4,93.9,2.39,2.48,2.88,Low Oil Pressure
4801.6,91.3,2.26,2.47,2.73,Low Oil Pressure
5171.4,103.1,3.68,1.75,3.33,Overheating
5305.5,101.2,3.81,1.8,3.13,Overheating
5216.8,80.1,4.15,1.32,2.59,Normal
4977.7,92.3,2.25,2.52,2.8,Low Oil Pressure
4645.7,84.7,4.0,2.23,3.74,Performance Degradation
5266.1,106.5,3.71,1.86,3.56,Overheating
4590.4,86.6,3.3,6.07,3.04,Bearing Degradation
5243.1,108.9,3.64,1.69,3.37,Overheating
4853.1,90.2,2.21,2.75,3.06,Low Oil Pressure
4489.5,82.7,3.7,1.96,3.49,Performance Degradation
5319.4,103.7,3.8,1.87,3.51,Overheating
5308.8,105.7,3.53,1.74,3.68,Overheating
4673.0,87.3,3.19,5.75,2.83,Bearing Degradation
4672.8,84.0,2.94,4.99,2.84,Bearing Degradation
4615.2,93.7,3.47,5.35,3.09,Bearing Degradation
5283.8,105.5,3.52,1.89,3.2,Overheating
5166.9,76.4,4.17,1.13,2.61,Normal
5122.4,79.7,4.29,1.26,2.67,Normal
5260.5,100.9,3.64,1.67,3.24,Overheating
4861.5,95.6,2.12,2.6,2.9,Low Oil Pressure
4674.2,84.0,3.84,2.44,3.64,Performance Degradation
4461.7,83.3,4.03,1.77,3.34,Performance Degradation
4635.3,84.2,3.09,3.7,3.29,Bearing Degradation
5217.2,77.6,4.4,1.16,2.81,Normal
4740.2,86.6,3.21,4.56,2.93,Bearing Degradation
4815.5,88.8,2.65,2.15,3.0,Low Oil Pressure
5277.5,108.9,3.54,1.9,3.28,Overheating
5169.5,77.3,4.32,1.17,2.76,Normal
4902.4,89.3,2.36,2.5,3.07,Low Oil Pressure
4538.6,90.2,3.34,6.12,3.16,Bearing Degradation
5299.4,112.0,3.39,2.02,3.42,Overheating
4869.4,94.6,2.01,2.73,2.78,Low Oil Pressure
4596.4,85.4,3.49,2.1,3.8,Performance Degradation
4552.4,86.2,3.86,2.26,3.2,Performance Degradation
5153.9,75.9,4.27,1.24,2.69,Normal
4635.1,89.4,2.94,6.01,3.18,Bearing Degradation
4561.3,84.0,3.79,2.04,3.45,Performance Degradation
4645.1,83.7,3.97,2.12,3.78,Performance Degradation
4621.8,82.1,3.07,4.73,3.09,Bearing Degradation
5246.1,77.6,4.08,0.87,2.71,Normal
4564.7,91.3,3.3,4.85,2.95,Bearing Degradation
4839.2,90.2,2.35,2.61,2.87,Low Oil Pressure
4511.6,86.0,3.96,1.97,3.67,Performance Degradation
4647.7,80.7,3.91,1.8,3.65,Performance Degradation
4763.2,92.7,2.28,2.47,3.04,Low Oil Pressure
5241.7,79.1,4.2,1.35,2.9,Normal
4730.7,84.2,3.9,2.19,4.19,Performance Degradation
4716.5,85.2,3.78,1.7,3.84,Performance Degradation
5305.0,107.8,3.62,1.55,3.46,Overheating
4538.8,91.2,3.38,4.8,2.97,Bearing Degradation
5200.6,74.6,4.3,0.92,2.73,Normal
4600.5,89.3,3.3,5.91,2.9,Bearing Degradation
4631.4,84.9,3.53,2.36,3.64,Performance Degradation
4648.5,84.9,3.13,5.99,3.2,Bearing Degradation
4929.1,91.2,2.12,2.96,2.91,Low Oil Pressure
5249.8,108.0,3.58,1.87,3.33,Overheating
5201.7,78.4,4.2,1.24,2.67,Normal
4748.3,87.1,3.15,5.41,3.19,Bearing Degradation
4708.1,89.4,3.25,6.36,3.13,Bearing Degradation
4919.1,95.6,2.26,2.61,2.69,Low Oil Pressure
4712.8,89.2,3.9,2.22,3.6,Performance Degradation
5178.6,79.7,4.13,1.13,2.68,Normal
5183.3,76.9,4.19,1.21,2.8,Normal
4611.5,87.3,3.36,4.28,3.1,Bearing Degradation
4620.6,87.9,3.11,4.88,3.29,Bearing Degradation
4700.6,83.1,3.1,4.69,2.89,Bearing Degradation
5123.4,76.2,4.35,1.12,2.55,Normal
5194.1,106.3,3.56,1.82,3.53,Overheating
5115.8,79.7,4.45,1.23,2.74,Normal
4770.5,85.4,3.75,1.96,3.75,Performance Degradation
5241.4,112.6,3.4,2.07,3.42,Overheating
4722.8,91.1,2.43,2.74,2.79,Low Oil Pressure
5267.2,77.8,4.3,1.1,2.65,Normal
5181.1,76.2,4.22,1.23,2.65,Normal
5250.8,101.7,3.65,1.75,3.42,Overheating
4893.7,91.3,2.42,2.7,2.76,Low Oil Pressure
5227.5,78.5,4.37,1.34,2.71,Normal
5203.9,79.2,4.26,1.05,2.69,Normal
4926.7,96.1,2.07,2.72,2.99,Low Oil Pressure
4676.7,85.4,4.04,2.27,3.77,Performance Degradation
5136.9,79.8,4.2,1.05,2.72,Normal
4824.3,88.6,2.3,2.38,2.8,Low Oil Pressure
4635.8,83.1,3.91,2.17,3.75,Performance Degradation
4650.0,85.4,3.91,2.51,3.69,Performance Degradation
4645.2,84.3,3.91,2.09,4.04,Performance Degradation
5140.6,78.9,4.17,1.27,2.83,Normal
5325.3,104.3,3.72,1.69,3.4,Overheating
5209.2,76.5,4.36,1.16,2.59,Normal
5220.1,114.5,3.28,2.09,3.68,Overheating
5134.8,77.0,4.3,1.15,2.67,Normal
4718.8,88.4,3.21,4.81,3.07,Bearing Degradation
4572.7,83.4,3.69,2.13,3.65,Performance Degradation
5194.0,78.1,4.26,1.05,2.55,Normal
4734.9,89.3,3.17,4.65,3.0,Bearing Degradation
4821.2,90.9,2.44,2.24,2.78,Low Oil Pressure
4690.8,84.9,3.85,2.0,3.64,Performance Degradation
4680.9,89.7,3.33,5.69,3.2,Bearing Degradation
4803.8,93.8,2.25,2.45,2.81,Low Oil Pressure
5287.1,102.0,3.8,1.56,3.3,Overheating
5268.5,77.4,4.35,1.13,2.76,Normal
5337.7,104.5,3.6,2.01,3.41,Overheating
4561.6,87.7,3.46,4.89,3.12,Bearing Degradation
5162.5,76.6,4.39,1.22,2.72,Normal
4856.9,90.5,2.21,2.47,2.87,Low Oil Pressure
4541.8,88.3,3.27,5.45,3.01,Bearing Degradation
5271.7,78.8,4.34,1.12,2.78,Normal
5190.6,81.5,4.35,1.17,2.69,Normal
5305.1,101.8,3.65,1.81,3.29,Overheating
5080.7,79.1,4.21,1.25,2.73,Normal
4603.2,79.2,3.66,1.92,3.9,Performance Degradation
